6,SVVL-0002,01/11/1993,08/11/1993,3,Free massage
8,SVVL-0004,01/11/1993,08/11/1993,7,free
5,SVRO-0003,04/11/1993,08/11/1993,5,Free gold
14,SVVL-0005,15/02/2023,17/02/2023,3,Free read book
23,SVVL-0006,15/02/2023,18/02/2023,6,Play soccer
21,SVVL-0006,15/02/2023,19/02/2023,7,Book
19,SVVL-0005,15/02/2023,20/02/2023,4,Read book
25,SVVL-0007,17/02/2023,18/02/2023,3,Free golf
12,SVVL-0003,17/02/2023,19/02/2023,5,Free cocktail
56,SVRO-0005,17/02/2023,25/02/2023,5,Free breakfast
13,SVVL-0003,18/02/2023,20/02/2023,4,Free coffee
24,SVVL-0007,18/02/2023,20/02/2023,8,Free all
28,SVVL-0007,18/02/2023,22/02/2023,7,Free coffee
22,SVRO-0003,18/02/2023,25/02/2023,10,Free karaoke
17,SVVL-0005,19/02/2023,24/02/2023,6,gym
45,SVVL-0007,19/02/2023,25/02/2023,5,Free play soccer
34,SVVL-0006,24/02/2023,26/02/2023,9,sing a song
30,SVVL-0007,25/02/2023,27/02/2023,7,Free pool
4,SVRO-0006,05/04/2023,07/04/2023,5,Free breakfast
11,SVVL-0004,05/06/2023,06/06/2023,9,Free coffee
9,SVVL-0007,05/06/2023,07/06/2023,3,Free golf
2,SVRO-0003,01/09/2023,05/09/2023,3,Free golf
3,SVVL-0004,01/10/2023,05/10/2023,2,Free gym
1,SVVL-0002,04/11/2023,08/11/2023,1,Free coffee
